#Emission rates for flat10 experiment (PgC per year).
#CO2 is emitted for 100 years. Followed by 200 years of zero emissions.
#Generated by Benjamin Sanderson Sep 21 2023. benjamin.sanderson@cicero.oslo.no
#
Time (years),Emission Rate (PgC a-1)
0.5,10.0
1.5,10.0
2.5,10.0
3.5,10.0
4.5,10.0
5.5,10.0
6.5,10.0
7.5,10.0
8.5,10.0
9.5,10.0
10.5,10.0
11.5,10.0
12.5,10.0
13.5,10.0
14.5,10.0
15.5,10.0
16.5,10.0
17.5,10.0
18.5,10.0
19.5,10.0
20.5,10.0
21.5,10.0
22.5,10.0
23.5,10.0
24.5,10.0
25.5,10.0
26.5,10.0
27.5,10.0
28.5,10.0
29.5,10.0
30.5,10.0
31.5,10.0
32.5,10.0
33.5,10.0
34.5,10.0
35.5,10.0
36.5,10.0
37.5,10.0
38.5,10.0
39.5,10.0
40.5,10.0
41.5,10.0
42.5,10.0
43.5,10.0
44.5,10.0
45.5,10.0
46.5,10.0
47.5,10.0
48.5,10.0
49.5,10.0
50.5,10.0
51.5,10.0
52.5,10.0
53.5,10.0
54.5,10.0
55.5,10.0
56.5,10.0
57.5,10.0
58.5,10.0
59.5,10.0
60.5,10.0
61.5,10.0
62.5,10.0
63.5,10.0
64.5,10.0
65.5,10.0
66.5,10.0
67.5,10.0
68.5,10.0
69.5,10.0
70.5,10.0
71.5,10.0
72.5,10.0
73.5,10.0
74.5,10.0
75.5,10.0
76.5,10.0
77.5,10.0
78.5,10.0
79.5,10.0
80.5,10.0
81.5,10.0
82.5,10.0
83.5,10.0
84.5,10.0
85.5,10.0
86.5,10.0
87.5,10.0
88.5,10.0
89.5,10.0
90.5,10.0
91.5,10.0
92.5,10.0
93.5,10.0
94.5,10.0
95.5,10.0
96.5,10.0
97.5,10.0
98.5,10.0
99.5,10.0
100.5,9.9
101.5,9.700000000000001
102.5,9.500000000000002
103.5,9.300000000000002
104.5,9.100000000000003
105.5,8.900000000000004
106.5,8.700000000000005
107.5,8.500000000000005
108.5,8.300000000000006
